############################################################
# group name of the Green's Function layer : bottom
# total number of atoms in the GF layer    : 288
# dimension of the system                  : 3 D
# number of atoms per unit surface cell    : 2
# dimension of the FFT mesh                : 9 x 16
# atomic tag of the surface origin         : 5473
# number of wait steps before measurement  : 5000000
# frequency of GFC measurement             : 20
# output result after this many measurement: 250000
# number of processors used by this run    : 4
############################################################
# Surface vectors: [ 4.42745, 0 ] [ 0, 2.55619 ]
# mapping information between FFT mesh and atom id
# nx ny nucell
9 16 2
# ix iy iu atom_id
0 0 0 5473
0 0 1 5618
0 1 0 5474
0 1 1 5619
0 2 0 5475
0 2 1 5620
0 3 0 5476
0 3 1 5621
0 4 0 5477
0 4 1 5622
0 5 0 5478
0 5 1 5623
0 6 0 5479
0 6 1 5624
0 7 0 5480
0 7 1 5625
0 8 0 5481
0 8 1 5626
0 9 0 5482
0 9 1 5627
0 10 0 5483
0 10 1 5628
0 11 0 5484
0 11 1 5629
0 12 0 5485
0 12 1 5630
0 13 0 5486
0 13 1 5631
0 14 0 5487
0 14 1 5632
0 15 0 5488
0 15 1 5617
1 0 0 5489
1 0 1 5634
1 1 0 5490
1 1 1 5635
1 2 0 5491
1 2 1 5636
1 3 0 5492
1 3 1 5637
1 4 0 5493
1 4 1 5638
1 5 0 5494
1 5 1 5639
1 6 0 5495
1 6 1 5640
1 7 0 5496
1 7 1 5641
1 8 0 5497
1 8 1 5642
1 9 0 5498
1 9 1 5643
1 10 0 5499
1 10 1 5644
1 11 0 5500
1 11 1 5645
1 12 0 5501
1 12 1 5646
1 13 0 5502
1 13 1 5647
1 14 0 5503
1 14 1 5648
1 15 0 5504
1 15 1 5633
2 0 0 5505
2 0 1 5650
2 1 0 5506
2 1 1 5651
2 2 0 5507
2 2 1 5652
2 3 0 5508
2 3 1 5653
2 4 0 5509
2 4 1 5654
2 5 0 5510
2 5 1 5655
2 6 0 5511
2 6 1 5656
2 7 0 5512
2 7 1 5657
2 8 0 5513
2 8 1 5658
2 9 0 5514
2 9 1 5659
2 10 0 5515
2 10 1 5660
2 11 0 5516
2 11 1 5661
2 12 0 5517
2 12 1 5662
2 13 0 5518
2 13 1 5663
2 14 0 5519
2 14 1 5664
2 15 0 5520
2 15 1 5649
3 0 0 5521
3 0 1 5666
3 1 0 5522
3 1 1 5667
3 2 0 5523
3 2 1 5668
3 3 0 5524
3 3 1 5669
3 4 0 5525
3 4 1 5670
3 5 0 5526
3 5 1 5671
3 6 0 5527
3 6 1 5672
3 7 0 5528
3 7 1 5673
3 8 0 5529
3 8 1 5674
3 9 0 5530
3 9 1 5675
3 10 0 5531
3 10 1 5676
3 11 0 5532
3 11 1 5677
3 12 0 5533
3 12 1 5678
3 13 0 5534
3 13 1 5679
3 14 0 5535
3 14 1 5680
3 15 0 5536
3 15 1 5665
4 0 0 5537
4 0 1 5682
4 1 0 5538
4 1 1 5683
4 2 0 5539
4 2 1 5684
4 3 0 5540
4 3 1 5685
4 4 0 5541
4 4 1 5686
4 5 0 5542
4 5 1 5687
4 6 0 5543
4 6 1 5688
4 7 0 5544
4 7 1 5689
4 8 0 5545
4 8 1 5690
4 9 0 5546
4 9 1 5691
4 10 0 5547
4 10 1 5692
4 11 0 5548
4 11 1 5693
4 12 0 5549
4 12 1 5694
4 13 0 5550
4 13 1 5695
4 14 0 5551
4 14 1 5696
4 15 0 5552
4 15 1 5681
5 0 0 5553
5 0 1 5698
5 1 0 5554
5 1 1 5699
5 2 0 5555
5 2 1 5700
5 3 0 5556
5 3 1 5701
5 4 0 5557
5 4 1 5702
5 5 0 5558
5 5 1 5703
5 6 0 5559
5 6 1 5704
5 7 0 5560
5 7 1 5705
5 8 0 5561
5 8 1 5706
5 9 0 5562
5 9 1 5707
5 10 0 5563
5 10 1 5708
5 11 0 5564
5 11 1 5709
5 12 0 5565
5 12 1 5710
5 13 0 5566
5 13 1 5711
5 14 0 5567
5 14 1 5712
5 15 0 5568
5 15 1 5697
6 0 0 5569
6 0 1 5714
6 1 0 5570
6 1 1 5715
6 2 0 5571
6 2 1 5716
6 3 0 5572
6 3 1 5717
6 4 0 5573
6 4 1 5718
6 5 0 5574
6 5 1 5719
6 6 0 5575
6 6 1 5720
6 7 0 5576
6 7 1 5721
6 8 0 5577
6 8 1 5722
6 9 0 5578
6 9 1 5723
6 10 0 5579
6 10 1 5724
6 11 0 5580
6 11 1 5725
6 12 0 5581
6 12 1 5726
6 13 0 5582
6 13 1 5727
6 14 0 5583
6 14 1 5728
6 15 0 5584
6 15 1 5713
7 0 0 5585
7 0 1 5730
7 1 0 5586
7 1 1 5731
7 2 0 5587
7 2 1 5732
7 3 0 5588
7 3 1 5733
7 4 0 5589
7 4 1 5734
7 5 0 5590
7 5 1 5735
7 6 0 5591
7 6 1 5736
7 7 0 5592
7 7 1 5737
7 8 0 5593
7 8 1 5738
7 9 0 5594
7 9 1 5739
7 10 0 5595
7 10 1 5740
7 11 0 5596
7 11 1 5741
7 12 0 5597
7 12 1 5742
7 13 0 5598
7 13 1 5743
7 14 0 5599
7 14 1 5744
7 15 0 5600
7 15 1 5729
8 0 0 5601
8 0 1 5746
8 1 0 5602
8 1 1 5747
8 2 0 5603
8 2 1 5748
8 3 0 5604
8 3 1 5749
8 4 0 5605
8 4 1 5750
8 5 0 5606
8 5 1 5751
8 6 0 5607
8 6 1 5752
8 7 0 5608
8 7 1 5753
8 8 0 5609
8 8 1 5754
8 9 0 5610
8 9 1 5755
8 10 0 5611
8 10 1 5756
8 11 0 5612
8 11 1 5757
8 12 0 5613
8 12 1 5758
8 13 0 5614
8 13 1 5759
8 14 0 5615
8 14 1 5760
8 15 0 5616
8 15 1 5745
############################################################
############################################################
# Current time step                      : 10000000
# Total number of GFC measurements       : 250000
# Average temperature of the measurement : 98.674
# Boltzmann constant under current units : 8.61734e-05
# Basis of the surface unit cell         : 0 0 0 2.21373 1.2781 4.81598e-06 
############################################################
# ix	 iy 	 qx 	 qy			 Phi(q)
0 0 0 0 5.28283 0 0.00597505 0 -0.23242 0 -5.25029 0 0.0110924 0 0.236194 0 0.00597505 0 1.77538 0 0.0171104 0 0.0112939 0 -1.7264 0 -0.0159979 0 -0.23242 0 0.0171104 0 1.77175 0 0.232609 0 -0.0172911 0 -1.42055 0 -5.25029 0 0.0112939 0 0.232609 0 5.28268 0 0.00623354 0 -0.236364 0 0.0110924 0 -1.7264 0 -0.0172911 0 0.00623354 0 1.77501 0 0.0159922 0 0.236194 0 -0.0159979 0 -1.42055 0 -0.236364 0 0.0159922 0 1.7698 0
0 1 0 0.392699 5.39414 1.31839e-15 0.00229142 -0.0777881 -0.197163 0.00170839 -5.02217 0.998102 0.00827703 0.0450272 0.240827 -0.0507451 0.00229142 0.0777881 2.21902 5.53404e-17 0.000526666 0.0320949 -0.0108948 -0.0454536 -1.56761 0.311963 0.00983698 0.0603394 -0.197163 -0.00170839 0.000526666 -0.0320949 1.78584 -8.71198e-19 0.243056 -0.0453419 -0.0125265 -0.0618757 -1.32815 0.264311 -5.02217 -0.998102 -0.0108948 0.0454536 0.243056 0.0453419 5.39412 1.22372e-15 0.00112153 -0.0777997 -0.196936 0.00432648 0.00827703 -0.0450272 -1.56761 -0.311963 -0.0125265 0.0618757 0.00112153 0.0777997 2.2165 3.40177e-17 0.00308224 0.0306086 0.240827 0.0507451 0.00983698 -0.0603394 -1.32815 -0.264311 -0.196936 -0.00432648 0.00308224 -0.0306086 1.787 3.01961e-18
0 2 0 0.785398 5.5743 -5.38386e-19 -0.00178894 -0.114636 -0.107213 -0.00411213 -4.50754 1.86664 0.0390461 0.0875423 0.215436 -0.087234 -0.00178894 0.114636 3.05531 -3.44789e-17 -0.000967109 0.0504624 -0.0310919 -0.0878285 -1.34313 0.559873 0.0308705 0.0781394 -0.107213 0.00411213 -0.000967109 -0.0504624 2.06026 1.8914e-18 0.21412 -0.0896256 -0.0406554 -0.0712335 -1.12105 0.465237 -4.50754 -1.86664 -0.0310919 0.0878285 0.21412 0.0896256 5.57598 3.53772e-18 -6.51793e-05 -0.118913 -0.105637 0.000580677 0.0390461 -0.0875423 -1.34313 -0.559873 -0.0406554 0.0712335 -6.51793e-05 0.118913 3.05904 5.30711e-17 0.0106826 0.0484875 0.215436 0.087234 0.0308705 -0.0781394 -1.12105 -0.465237 -0.105637 -0.000580677 0.0106826 -0.0484875 2.06074 4.88088e-17
0 3 0 1.1781 5.43389 -2.07334e-17 0.00140154 -0.163997 -0.0394814 0.00448074 -3.47322 2.32599 0.0834945 0.128273 0.195179 -0.126173 0.00140154 0.163997 4.27053 -4.81226e-19 0.0228841 0.0587515 -0.100064 -0.143397 -1.04679 0.700548 0.0328087 0.0785574 -0.0394814 -0.00448074 0.0228841 -0.0587515 2.28342 1.95474e-18 0.199876 -0.127092 -0.0479037 -0.0964507 -0.787254 0.52821 -3.47322 -2.32599 -0.100064 0.143397 0.199876 0.127092 5.43475 -2.6983e-16 -0.000293958 -0.150611 -0.034363 0.000448731 0.0834945 -0.128273 -1.04679 -0.700548 -0.0479037 0.0964507 -0.000293958 0.150611 4.29361 2.6069e-17 -0.0224977 0.0454404 0.195179 0.126173 0.0328087 -0.0785574 -0.787254 -0.52821 -0.034363 -0.000448731 -0.0224977 -0.0454404 2.27297 6.63649e-19
