GFMD initialization...
Number of processors used    : 1
Total number of GF atoms     : 1152
Extra load added to GF atoms : -0.01

Original positions of GF atoms determined from initial configuraiton!

Mapping info computed from initial configuration.
Total # of atoms in manifold : 1152
Surface vector along U       : [ 4.42745, 0 ]
Surface vector along V       : [ 0, 2.55619 ]
# of atoms per unit cell     : 2
Dimensions of the FFT mesh   : 18 x 32

Manifold to FFT mesh mapping information:
# nx ny nucell
 18 32 2
# ix iy iu atom_id
0 0 0 1
0 0 1 577
0 1 0 2
0 1 1 578
0 2 0 3
0 2 1 579
0 3 0 4
0 3 1 580
0 4 0 5
0 4 1 581
0 5 0 6
0 5 1 582
0 6 0 7
0 6 1 583
0 7 0 8
0 7 1 584
0 8 0 9
0 8 1 585
0 9 0 10
0 9 1 586
0 10 0 11
0 10 1 587
0 11 0 12
0 11 1 588
0 12 0 13
0 12 1 589
0 13 0 14
0 13 1 590
0 14 0 15
0 14 1 591
0 15 0 16
0 15 1 592
0 16 0 17
0 16 1 593
0 17 0 18
0 17 1 594
0 18 0 19
0 18 1 595
0 19 0 20
0 19 1 596
0 20 0 21
0 20 1 597
0 21 0 22
0 21 1 598
0 22 0 23
0 22 1 599
0 23 0 24
0 23 1 600
0 24 0 25
0 24 1 601
0 25 0 26
0 25 1 602
0 26 0 27
0 26 1 603
0 27 0 28
0 27 1 604
0 28 0 29
0 28 1 605
0 29 0 30
0 29 1 606
0 30 0 31
0 30 1 607
0 31 0 32
0 31 1 608
1 0 0 33
1 0 1 609
1 1 0 34
1 1 1 610
1 2 0 35
1 2 1 611
1 3 0 36
1 3 1 612
1 4 0 37
1 4 1 613
1 5 0 38
1 5 1 614
1 6 0 39
1 6 1 615
1 7 0 40
1 7 1 616
1 8 0 41
1 8 1 617
1 9 0 42
1 9 1 618
1 10 0 43
1 10 1 619
1 11 0 44
1 11 1 620
1 12 0 45
1 12 1 621
1 13 0 46
1 13 1 622
1 14 0 47
1 14 1 623
1 15 0 48
1 15 1 624
1 16 0 49
1 16 1 625
1 17 0 50
1 17 1 626
1 18 0 51
1 18 1 627
1 19 0 52
1 19 1 628
1 20 0 53
1 20 1 629
1 21 0 54
1 21 1 630
1 22 0 55
1 22 1 631
1 23 0 56
1 23 1 632
1 24 0 57
1 24 1 633
1 25 0 58
1 25 1 634
1 26 0 59
1 26 1 635
1 27 0 60
1 27 1 636
1 28 0 61
1 28 1 637
1 29 0 62
1 29 1 638
1 30 0 63
1 30 1 639
1 31 0 64
1 31 1 640
2 0 0 65
2 0 1 641
2 1 0 66
2 1 1 642
2 2 0 67
2 2 1 643
2 3 0 68
2 3 1 644
2 4 0 69
2 4 1 645
2 5 0 70
2 5 1 646
2 6 0 71
2 6 1 647
2 7 0 72
2 7 1 648
2 8 0 73
2 8 1 649
2 9 0 74
2 9 1 650
2 10 0 75
2 10 1 651
2 11 0 76
2 11 1 652
2 12 0 77
2 12 1 653
2 13 0 78
2 13 1 654
2 14 0 79
2 14 1 655
2 15 0 80
2 15 1 656
2 16 0 81
2 16 1 657
2 17 0 82
2 17 1 658
2 18 0 83
2 18 1 659
2 19 0 84
2 19 1 660
2 20 0 85
2 20 1 661
2 21 0 86
2 21 1 662
2 22 0 87
2 22 1 663
2 23 0 88
2 23 1 664
2 24 0 89
2 24 1 665
2 25 0 90
2 25 1 666
2 26 0 91
2 26 1 667
2 27 0 92
2 27 1 668
2 28 0 93
2 28 1 669
2 29 0 94
2 29 1 670
2 30 0 95
2 30 1 671
2 31 0 96
2 31 1 672
3 0 0 97
3 0 1 673
3 1 0 98
3 1 1 674
3 2 0 99
3 2 1 675
3 3 0 100
3 3 1 676
3 4 0 101
3 4 1 677
3 5 0 102
3 5 1 678
3 6 0 103
3 6 1 679
3 7 0 104
3 7 1 680
3 8 0 105
3 8 1 681
3 9 0 106
3 9 1 682
3 10 0 107
3 10 1 683
3 11 0 108
3 11 1 684
3 12 0 109
3 12 1 685
3 13 0 110
3 13 1 686
3 14 0 111
3 14 1 687
3 15 0 112
3 15 1 688
